#Year Nh4[ppb] No3[ppb] So4[ppb]
2009 207.721107398566 580.166682297131 723.913661272077
2008 180.92077033543 503.948765625787 730.801810365833
2007 174.581482109003 420.185156349528 493.577113443129
2006 264.445689170898 514.252544964465 559.76447328596
2005 146.390587551866 403.104026966808 527.255299869981
2004 174.849932948584 424.568965001047 567.673418399794
2003 183.924934341906 425.785219062027 789.958691225414
2002 118.786852528549 286.994398852367 407.026622683522
2001 201.323000399999 460.191693432001 734.490910650001
2000 187.42083270142 333.737548706161 754.364512518958
1999 291.484981894736 657.859516818948 1129.03946764
1998 160.095470479301 401.885171026144 624.966565794117
1997 190.770533783783 390.5892015 617.910983904366
1996 162.603169817074 397.904363548779 565.532713666669
1995 159.809148813057 412.82600852671 591.483670640954
1994 191.874675480769 402.694178899038 709.460348439903
1993 205.889193589744 469.446728938463 851.093726179487
1992 161.939305241935 333.766913770162 679.677808673388
1991 203.44006949891 465.801717732025 756.782176599127
1990 143.480621904762 393.340545508573 588.155967306662
1989 277.843107194244 566.663221386696 1011.91279186331
1988 187.722428395061 515.998057170371 699.945012096296
1987 191.902166260163 370.829139768291 628.071125656506
1986 227.967968840581 430.378869065217 758.515022644933
1985 231.7764 431.670964756251 851.073842849999
1984 273.325411004785 499.196202559812 925.500978500002
1983 167.637732664757 384.031655243554 599.788771905445
1982 251.594034263958 396.796237477158 767.050307913708
1981 150.475403571428 263.155789455357 549.505490875001
1980 176.086065977444 294.192943646614 596.77950725
1979 190.948823765433 298.782410962962 691.923385395062
1978 180.351125000001 273.841534523438 622.320341562501
1977 198.381886312849 324.74363458659 674.531917930168
1976 153.95138862069 282.979630196552 540.236791244826
1975 171.285883333334 251.545958333333 653.604091666667
1974 181.261672727273 327.377536163008 754.997430987458
1973 152.70907106599 264.33481626396 477.432203020303
1972 152.328588043478 285.074357070653 522.341540722826
1971 134.616883433735 260.793385987952 625.412737081326
1970 155.850054893617 269.929731982979 682.131177059575
1969 129.57921902834 276.483548283401 598.842159999999
1968 145.281202369668 262.358880867299 538.198431592417
1967 217.879233536584 393.675808170732 945.573148176829
1966 147.347289082969 281.509902144105 647.948505008733
1965 138.635647058823 225.602471348417 509.643614751131
1964 98.6290373831778 252.772827728972 381.333655990655
1963 160.739114385964 280.900463578947 778.316868
1962 127.438727306273 209.560338952029 467.642754656828
1961 134.274364609053 235.66898262963 536.572342962964
1960 111.655605017921 178.712363623656 471.334830129032
1959 170.774080310881 234.828073880829 618.212980217616
1958 144.086515384616 249.444089433567 440.38773986014
1957 91.9904233812951 147.641862625899 373.310314194244
