#Depth. m	Depth Bottom. m	Depth top. mwe	Depth bot. mwe	Nh4[ppb]	Ca[ppb]	No3[ppb]	So4[ppb]
0.000	0.312	0	0.103	371.018	648.402	1217.063	1017.387
0.312	0.624	0.103	0.205	63.717	113.309	330.335	209.172
0.624	0.936	0.205	0.308	199.320	807.977	512.069	667.906
0.936	1.248	0.308	0.411	191.292	1068.217	538.771	773.537
1.248	1.559	0.411	0.514	172.825	350.990	403.664	473.625
1.559	1.871	0.514	0.616	157.690	2022.259	322.152	878.492
1.871	2.045	0.616	0.692	87.180	223.557	179.728	820.010
2.045	2.218	0.692	0.767	66.243	193.263	195.087	283.743
2.218	2.392	0.767	0.843	53.992	156.932	169.534	190.660
2.392	2.565	0.843	0.918	47.840	116.403	147.661	213.415
2.565	2.738	0.918	0.994	33.612	83.504	180.746	191.361
2.738	2.912	0.994	1.069	32.972	58.545	165.501	225.825
2.912	3.230	1.069	1.205	307.894	591.375	873.372	1512.713
3.230	3.548	1.205	1.34	340.059	636.714	930.472	1106.186
3.548	3.866	1.34	1.476	91.523	89.279	262.943	300.876
3.866	4.184	1.476	1.611	82.444	117.074	244.480	329.392
4.184	4.501	1.611	1.747	136.192	182.114	286.339	373.599
4.501	4.819	1.747	1.882	127.413	862.869	426.087	762.044
4.819	5.092	1.882	2.021	75.435	416.259	227.061	388.190
5.092	5.364	2.021	2.159	78.334	164.114	254.821	274.233
5.364	5.636	2.159	2.297	71.351	135.869	230.698	264.639
5.636	5.908	2.297	2.436	68.072	97.723	202.552	220.802
5.908	6.180	2.436	2.574	10.003	38.391	86.118	131.871
6.180	6.452	2.574	2.712	19.675	51.024	116.651	117.102
6.452	6.734	2.712	2.843	163.760	226.969	475.195	472.908
6.734	7.015	2.843	2.975	240.244	251.990	536.796	690.853
7.015	7.296	2.975	3.106	315.584	215.885	526.202	745.954
7.296	7.577	3.106	3.237	138.676	111.999	401.837	351.135
7.577	7.858	3.237	3.368	132.213	616.135	474.516	481.822
7.858	8.139	3.368	3.499	57.710	42.849	107.701	220.498
8.139	8.325	3.499	3.593	54.899	52.862	153.109	184.274
8.325	8.511	3.593	3.686	57.638	92.542	158.736	234.876
8.511	8.697	3.686	3.78	41.234	48.568	112.686	167.914
8.697	8.883	3.78	3.873	20.733	20.627	69.037	99.187
8.883	9.069	3.873	3.966	33.979	40.286	187.517	210.266
9.069	9.255	3.966	4.06	73.202	99.675	282.326	255.408
9.255	9.453	4.06	4.15	191.951	321.454	525.718	655.450
9.453	9.650	4.15	4.241	339.578	174.992	502.390	485.506
9.650	9.847	4.241	4.331	372.233	264.112	689.469	644.908
9.847	10.044	4.331	4.422	353.602	549.947	714.648	837.729
10.044	10.241	4.422	4.512	191.762	185.413	368.433	424.747
10.241	10.438	4.512	4.602	137.929	179.719	284.441	309.778
10.438	10.777	4.602	4.783	83.533	314.862	191.629	193.806
10.777	11.115	4.783	4.964	74.183	108.267	105.873	153.794
11.115	11.454	4.964	5.145	60.834	233.012	159.015	270.972
11.454	11.792	5.145	5.326	58.599	212.914	166.607	321.937
11.792	12.130	5.326	5.507	26.721	33.918	102.158	125.695
12.130	12.469	5.507	5.688	49.030	50.139	133.507	194.374
12.469	12.710	5.688	5.816	103.441	289.567	368.990	572.448
12.710	12.951	5.816	5.944	138.570	606.850	468.113	541.821
12.951	13.192	5.944	6.073	154.265	199.106	499.736	395.883
13.192	13.434	6.073	6.201	131.293	135.017	348.521	387.401
13.434	13.675	6.201	6.33	139.081	916.826	300.295	736.238
13.675	13.916	6.33	6.458	211.945	335.049	433.739	529.044
