Year,Thermal_stress,size
1979,extreme cold stress,1
1979,strong cold stress,1
1979,moderate cold stress,16
1979,slight cold stress,32
1979,no thermal stress,44
1979,slight heat stress,41
1979,moderate heat stress,18
1979,strong heat stress,0
1979,extreme heat stress,0
1980,extreme cold stress,5
1980,strong cold stress,15
1980,moderate cold stress,18
1980,slight cold stress,42
1980,no thermal stress,37
1980,slight heat stress,28
1980,moderate heat stress,8
1980,strong heat stress,0
1980,extreme heat stress,0
1981,extreme cold stress,1
1981,strong cold stress,6
1981,moderate cold stress,19
1981,slight cold stress,22
1981,no thermal stress,30
1981,slight heat stress,40
1981,moderate heat stress,22
1981,strong heat stress,13
1981,extreme heat stress,0
1982,extreme cold stress,0
1982,strong cold stress,8
1982,moderate cold stress,21
1982,slight cold stress,36
1982,no thermal stress,47
1982,slight heat stress,35
1982,moderate heat stress,5
1982,strong heat stress,1
1982,extreme heat stress,0
1983,extreme cold stress,2
1983,strong cold stress,3
1983,moderate cold stress,25
1983,slight cold stress,28
1983,no thermal stress,43
1983,slight heat stress,42
1983,moderate heat stress,10
1983,strong heat stress,0
1983,extreme heat stress,0
1984,extreme cold stress,0
1984,strong cold stress,1
1984,moderate cold stress,23
1984,slight cold stress,36
1984,no thermal stress,46
1984,slight heat stress,36
1984,moderate heat stress,11
1984,strong heat stress,0
1984,extreme heat stress,0
1985,extreme cold stress,4
1985,strong cold stress,11
1985,moderate cold stress,20
1985,slight cold stress,24
1985,no thermal stress,43
1985,slight heat stress,39
1985,moderate heat stress,11
1985,strong heat stress,1
1985,extreme heat stress,0
1986,extreme cold stress,9
1986,strong cold stress,7
1986,moderate cold stress,20
1986,slight cold stress,30
1986,no thermal stress,27
1986,slight heat stress,45
1986,moderate heat stress,15
1986,strong heat stress,0
1986,extreme heat stress,0
1987,extreme cold stress,3
1987,strong cold stress,10
1987,moderate cold stress,23
1987,slight cold stress,38
1987,no thermal stress,35
1987,slight heat stress,38
1987,moderate heat stress,6
1987,strong heat stress,0
1987,extreme heat stress,0
1988,extreme cold stress,2
1988,strong cold stress,4
1988,moderate cold stress,24
1988,slight cold stress,22
1988,no thermal stress,36
1988,slight heat stress,39
1988,moderate heat stress,24
1988,strong heat stress,2
1988,extreme heat stress,0
1989,extreme cold stress,0
1989,strong cold stress,4
1989,moderate cold stress,8
1989,slight cold stress,40
1989,no thermal stress,38
1989,slight heat stress,42
1989,moderate heat stress,20
1989,strong heat stress,1
1989,extreme heat stress,0
1990,extreme cold stress,2
1990,strong cold stress,13
1990,moderate cold stress,34
1990,slight cold stress,39
1990,no thermal stress,34
1990,slight heat stress,25
1990,moderate heat stress,6
1990,strong heat stress,0
1990,extreme heat stress,0
1991,extreme cold stress,1
1991,strong cold stress,6
1991,moderate cold stress,17
1991,slight cold stress,40
1991,no thermal stress,42
1991,slight heat stress,29
1991,moderate heat stress,14
1991,strong heat stress,4
1991,extreme heat stress,0
1992,extreme cold stress,0
1992,strong cold stress,1
1992,moderate cold stress,22
1992,slight cold stress,44
1992,no thermal stress,25
1992,slight heat stress,33
1992,moderate heat stress,26
1992,strong heat stress,2
1992,extreme heat stress,0
1993,extreme cold stress,8
1993,strong cold stress,9
1993,moderate cold stress,21
1993,slight cold stress,37
1993,no thermal stress,41
1993,slight heat stress,36
1993,moderate heat stress,1
1993,strong heat stress,0
1993,extreme heat stress,0
1994,extreme cold stress,1
1994,strong cold stress,9
1994,moderate cold stress,16
1994,slight cold stress,51
1994,no thermal stress,43
1994,slight heat stress,27
1994,moderate heat stress,6
1994,strong heat stress,0
1994,extreme heat stress,0
1995,extreme cold stress,1
1995,strong cold stress,6
1995,moderate cold stress,19
1995,slight cold stress,25
1995,no thermal stress,30
1995,slight heat stress,46
1995,moderate heat stress,25
1995,strong heat stress,1
1995,extreme heat stress,0
1996,extreme cold stress,6
1996,strong cold stress,7
1996,moderate cold stress,13
1996,slight cold stress,27
1996,no thermal stress,39
1996,slight heat stress,42
1996,moderate heat stress,16
1996,strong heat stress,3
1996,extreme heat stress,0
1997,extreme cold stress,3
1997,strong cold stress,12
1997,moderate cold stress,23
1997,slight cold stress,30
1997,no thermal stress,23
1997,slight heat stress,45
1997,moderate heat stress,15
1997,strong heat stress,2
1997,extreme heat stress,0
1998,extreme cold stress,3
1998,strong cold stress,8
