VIN (1-10),County,City,State,Postal Code,Model Year,Make,Model,Electric Vehicle Type,Clean Alternative Fuel Vehicle (CAFV) Eligibility,Electric Range,Base MSRP,Legislative District,DOL Vehicle ID,Electric Utility,2020 Census Tract,Vehicle Location Lat,Vehicle Location Lon
5UXKT0C59G,Yakima,Zillah,WA,98953.0,2016,BMW,X5,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,14,0,15.0,206822717,PACIFICORP,53077002201.0,46.40556,-120.2631
5YJ3E1EA2J,Snohomish,Edmonds,WA,98020.0,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,0,21.0,137721636,PUGET SOUND ENERGY INC,53061050502.0,47.80807,-122.375
1G1RE6E4XE,Kitsap,Port Orchard,WA,98367.0,2014,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,38,0,26.0,197718468,PUGET SOUND ENERGY INC,53035092704.0,47.50524,-122.684707
2C4RC1L76M,Skagit,Bow,WA,98232.0,2021,CHRYSLER,PACIFICA,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,32,0,40.0,256274308,PUGET SOUND ENERGY INC,53057950801.0,48.5613885,-122.44063
5YJ3E1EA2J,Thurston,Olympia,WA,98513.0,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,0,2.0,259176578,PUGET SOUND ENERGY INC,53067012331.0,46.98876,-122.81754
WA1E2BFY8N,Snohomish,Snohomish,WA,98296.0,2022,AUDI,Q5,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,23,0,1.0,207797957,PUGET SOUND ENERGY INC,53061052108.0,47.8851158,-122.1513
KNDCE3LG2K,Thurston,Olympia,WA,98506.0,2019,KIA,NIRO,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,239,0,22.0,256221178,PUGET SOUND ENERGY INC,53067010300.0,47.0519573,-122.887478
5YJ3E1EB9K,Snohomish,Edmonds,WA,98020.0,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,220,0,32.0,477226991,PUGET SOUND ENERGY INC,53061050700.0,47.80807,-122.375
WBY8P2C57K,King,Seattle,WA,98102.0,2019,BMW,I3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,153,0,43.0,121649510,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033006100.0,47.64058,-122.3222
1FADP5CU2D,Thurston,Lacey,WA,98503.0,2013,FORD,C-MAX,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,19,0,22.0,115266077,PUGET SOUND ENERGY INC,53067011200.0,47.03646,-122.828
