pl_name,hostname,disc_year,soltype,pl_orbper,sy_dist,disc_facility
11 Com b,11 Com,2007,Published Confirmed,,93.1846,Xinglong Station
11 Com b,11 Com,2007,Published Confirmed,326.03,93.1846,Xinglong Station
11 Com b,11 Com,2007,Published Confirmed,323.21,93.1846,Xinglong Station
11 UMi b,11 UMi,2009,Published Confirmed,516.21997,125.321,Thueringer Landessternwarte Tautenburg
11 UMi b,11 UMi,2009,Published Confirmed,,125.321,Thueringer Landessternwarte Tautenburg
11 UMi b,11 UMi,2009,Published Confirmed,516.22,125.321,Thueringer Landessternwarte Tautenburg
14 And b,14 And,2008,Published Confirmed,186.76,75.4392,Okayama Astrophysical Observatory
14 And b,14 And,2008,Published Confirmed,,75.4392,Okayama Astrophysical Observatory
14 And b,14 And,2008,Published Confirmed,185.84,75.4392,Okayama Astrophysical Observatory
14 Her b,14 Her,2002,Published Confirmed,1773.4,17.9323,W. M. Keck Observatory
14 Her b,14 Her,2002,Published Confirmed,1766.0,17.9323,W. M. Keck Observatory
14 Her b,14 Her,2002,Published Confirmed,1765.0389,17.9323,W. M. Keck Observatory
14 Her b,14 Her,2002,Published Confirmed,1773.40002,17.9323,W. M. Keck Observatory
14 Her b,14 Her,2002,Published Confirmed,1796.4,17.9323,W. M. Keck Observatory
14 Her b,14 Her,2002,Published Confirmed,1766.41,17.9323,W. M. Keck Observatory
14 Her b,14 Her,2002,Published Confirmed,1724.0,17.9323,W. M. Keck Observatory
14 Her b,14 Her,2002,Published Confirmed,,17.9323,W. M. Keck Observatory
16 Cyg B b,16 Cyg B,1996,Published Confirmed,799.45,21.1397,Multiple Observatories
16 Cyg B b,16 Cyg B,1996,Published Confirmed,798.5,21.1397,Multiple Observatories
16 Cyg B b,16 Cyg B,1996,Published Confirmed,800.8,21.1397,Multiple Observatories
16 Cyg B b,16 Cyg B,1996,Published Confirmed,799.5,21.1397,Multiple Observatories
16 Cyg B b,16 Cyg B,1996,Published Confirmed,799.5,21.1397,Multiple Observatories
16 Cyg B b,16 Cyg B,1996,Published Confirmed,798.5,21.1397,Multiple Observatories
17 Sco b,17 Sco,2020,Published Confirmed,578.38,124.953,Lick Observatory
18 Del b,18 Del,2008,Published Confirmed,993.3,76.222,Okayama Astrophysical Observatory
18 Del b,18 Del,2008,Published Confirmed,982.85,76.222,Okayama Astrophysical Observatory
18 Del b,18 Del,2008,Published Confirmed,,76.222,Okayama Astrophysical Observatory
1RXS J160929.1-210524 b,1RXS J160929.1-210524,2008,Published Confirmed,,139.135,Gemini Observatory
1RXS J160929.1-210524 b,1RXS J160929.1-210524,2008,Published Confirmed,,139.135,Gemini Observatory
1RXS J160929.1-210524 b,1RXS J160929.1-210524,2008,Published Confirmed,,139.135,Gemini Observatory
1RXS J160929.1-210524 b,1RXS J160929.1-210524,2008,Published Confirmed,,139.135,Gemini Observatory
24 Boo b,24 Boo,2018,Published Confirmed,30.33,95.9863,Okayama Astrophysical Observatory
24 Boo b,24 Boo,2018,Published Confirmed,30.3506,95.9863,Okayama Astrophysical Observatory
24 Sex b,24 Sex,2010,Published Confirmed,452.8,72.0691,Lick Observatory
